new_value,user_id,question_id,w,userweights,settled_value
0.78155077,789,102,0.01561449,0.21844923,0
0.41287112,45,103,0.009999988,0.764666665,0
0.63,1239,154,0.034344363,0.577702554,1
0.33103186,62,17,0.01747402,0.66896814,0
0.29000002,45,447,0.783813742,0.815792934,1
0.33,45,452,0.794536491,0.682896467,1
0.10000001,25,17,0.01747402,0.89999999,0
0.59,372,610,0.488327828,0.859999998,0
0.75,372,610,0.488327828,0.859999998,0
0.51637715,856,357,0.010314921,0.589365668,1
0.4,79,102,0.009999988,0.640113135,0
0.31977373,79,103,0.009999988,0.640113135,0
0.79,372,610,0.488327828,0.859999998,0
0.8,372,610,0.488327828,0.859999998,0
0.78,2283,610,0.513962451,0.844999995,0
0.20408164,2315,747,0.021100128,0.74999997,0
0.21907887,1208,127,0.028858178,0.78092113,0
0.71,8935,610,0.513962451,0.784525399,0
0.71999997,8935,610,0.698635903,0.784525399,0
0.2049434,89,103,0.009999988,0.7589292,0
0.4939764,796,459,0.009999983,0.811917166,0
0.57,85,52,0.024241949,0.652727311,1
0.64,856,61,0.209049644,0.6020351,0
0.7770368,14,610,0.698635903,0.815414846,0
0.18,1239,396,0.019305529,0.925781599,0
0.46730962,2084,391,0.630682494,0.76353434,1
0.75240445,2084,226,0.047048815,0.76353434,1
0.7,6,77,0.015847418,0.90589585,1
0.5191896,856,343,0.010781858,0.589365668,1
0.21999994,2075,341,0.090544542,0.635999992,0
0.7885184,14,610,0.773910496,0.815414846,0
0.19999997,4769,739,0.009999864,#N/A,0
0.59999996,276,462,0.088060731,0.775,1
0.09,1013,127,0.025393298,0.89999995,0
0.47,59,416,0.009999983,0.935,0
0.36000004,10740,452,0.794536491,0.36,1
0.92,276,420,0.633230542,0.632305038,1
0.19000006,2075,341,0.090544542,0.635999992,0
0.96,9638,529,0.214398771,0.09,0
0.45,10138,454,0.463973625,0.45,0
0.021501461,10769,1034,0.159289181,0.978498539,0
0.030000001,10747,1034,0.159289181,0.969999999,0
0.13,45,739,0.009999864,#N/A,0
0.33999997,6695,739,0.009999864,#N/A,0
0.695737,91,9,0.01311091,0.695737,1
0.884723,88,78,0.023098289,0.781836734,1
0.78223777,88,13,0.01311091,0.777590072,1
0.15,5122,739,0.009999864,#N/A,0
0.13,2283,739,0.009999864,#N/A,0
0.68,6708,739,0.009999864,#N/A,0
0.36841598,45,84,0.010114904,0.89999999,0
0,8,569,0.017781379,0.9844899,0
0.33873588,91,103,0.010114904,0.66126412,0
0.4358408,856,359,0.010289209,0.589365668,0
0.78999996,6,77,0.025115266,0.90589585,1
0.7598136,796,9,0.076253437,0.775928076,1
0.7126784,856,16,0.101094082,0.712470423,0
0.30000004,2075,739,0.009999864,#N/A,0
0.13,2283,739,0.009999864,#N/A,0
0.13,6711,739,0.009999864,#N/A,0
0.18499999,1142,126,0.273191915,0.18499999,1
0.51214325,856,347,0.010948119,0.560210276,0
0.91,6,78,0.023098289,0.93768775,1
0.38859907,94,102,0.010114904,0.716964615,0
0.4803652,45,102,0.010114904,0.764666665,0
0.38723117,14,102,0.010114904,0.804,0
0.1774717,94,103,0.010114904,0.716964615,0
0.4193679,14,103,0.010114904,0.804,0
0.19999999,45,103,0.01023114,0.764666665,0
0.9231751,115,78,0.053355411,0.733239469,1
0.13,6727,739,0.009999864,#N/A,0
0.37402475,108,103,0.010467634,0.88476872,0
0.51,6739,739,0.009999864,#N/A,0
0.35045147,796,126,0.036586338,0.979999997,1
0.19999993,1239,338,0.017272238,0.976563204,0
0.53885686,108,9,0.015012405,0.70942843,1
0.20000002,6748,739,0.009999864,#N/A,0
0.44,2113,193,0.06190221,0.608460438,1
0.7599999,2062,226,0.047048815,0.89,1
0.62,1239,445,0.013425552,0.650199913,1
0.81999993,108,77,0.063080673,0.841965373,1
0.9608461,796,9,0.076253437,0.775928076,1
0.897286,796,13,0.072887594,0.775928076,1
0.16999997,10162,1026,0.02714493,0.959999998,0
0.20000002,45,1091,0.088930836,0.89999999,0
0.2,6749,739,0.009999864,#N/A,0
0.58,6768,739,0.009999864,#N/A,0
0.43499994,1025,225,0.011826043,0.975647178,0
0.2,4769,739,0.009999864,#N/A,0
0.37399998,45,103,0.010587924,0.764666665,0
0.44262317,114,268,0.222680317,#N/A,1
0.53,6772,739,0.009999864,#N/A,0
0.20000002,4769,739,0.009999864,#N/A,0
0.2,6779,739,0.009999864,#N/A,0
0.19000001,6782,739,0.009999864,#N/A,0
0.19,6785,739,0.009999864,#N/A,0
0.27,6791,739,0.009999864,#N/A,0
0.5,6796,739,0.009999864,#N/A,0
0.69,6791,739,0.009999864,#N/A,0
0.8157754,784,102,0.01561449,0.37189124,0
0.20000002,45,103,0.010587924,0.764666665,0
0.37022105,39,103,0.015793925,0.62977895,0
0.51316255,856,358,0.010289209,0.589365668,0
0.39800292,856,199,0.015989506,0.62412244,0
0.15,10740,880,0.236466536,0.85,0
0.69,6798,739,0.009999864,#N/A,0
0.39999995,2075,739,0.009999864,#N/A,0
0,8,570,0.017781379,0.9844899,0
0.22448978,2315,747,0.03471194,0.74999997,0
0.185,807,127,0.014411623,0.815,0
0.20999998,296,765,0.025453764,0.970000001,0
0.59956384,856,231,0.015237272,0.560210276,0
0.85,6,77,0.158436355,0.90589585,1
0.34000003,2283,739,0.009999864,#N/A,0
0.8,6803,739,0.009999864,#N/A,0
0.8,6809,739,0.009999864,#N/A,0
0.4,2075,739,0.009999864,#N/A,0
0.29138818,809,144,0.010255509,0.70861182,0
0.30000004,114,103,0.010587924,0.61387944,0
0.24999997,59,103,0.010709596,0.769999995,0
0.14849354,4,103,0.010832666,0.693099,0
0.55999994,85,103,0.026111373,0.720999999,0
0.24999997,45,341,0.087432718,0.904000002,0
0.18000002,10740,1040,0.164082614,0.81999998,0
0.27,296,1075,0.009999965,0.884999995,0
0.4,6816,739,0.009999864,#N/A,0
0.3,59,10,0.017189676,0.847956575,0
0.34,2283,739,0.009999864,#N/A,0
0.34,6822,739,0.009999864,#N/A,0
0.3,45,739,0.009999864,#N/A,0
0.57000005,85,155,0.34320322,0.85050003,1
0.3,6826,739,0.009999864,#N/A,0
0.54999995,6827,739,0.009999864,#N/A,0
0.9450071,133,78,0.187316683,0.9450071,1
0.92000014,6,78,0.187316683,0.93768775,1
0.99,6,77,0.251092711,0.90589585,1
0.50000006,45,739,0.009999864,#N/A,0
0,8,571,0.017781379,0.9844899,0
0.41863784,14,203,0.188823989,0.970468007,1
0.66761726,856,361,0.010349588,0.589365668,1
0.54999995,59,76,0.010952205,0.687640115,0
0.19276242,136,103,0.010832666,0.80723758,0
0.22424676,148,103,0.01095715,0.77575324,0
0.9335134,6,77,0.397936127,0.90589585,1
0.5,6835,739,0.009999864,#N/A,0
0.6183918,856,360,0.010256934,0.589365668,0
0.19999999,6782,739,0.009999864,#N/A,0
0.20000002,6857,739,0.009999864,#N/A,0
0.26,45,739,0.009999864,#N/A,0
0.45999998,6867,739,0.009999864,#N/A,0
0.43,45,739,0.009999864,#N/A,0
0.43000004,6869,739,0.009999864,#N/A,0
0.55634904,176,269,0.134993565,#N/A,1
0.33126962,856,12,0.10223581,0.712470423,0
0.15484716,809,127,0.014411623,0.84515284,0
0.2999153,65,102,0.011210426,0.29735696,0
0,8,572,0.017781379,0.9844899,0
0.22999999,122,103,0.011210426,0.96,0
0.6,39,77,0.009999523,0.6,1
0.4,25,52,0.119344784,0.4,1
0.43,6868,739,0.009999864,#N/A,0
0.40000004,45,739,0.009999864,#N/A,0
0.4,6873,739,0.009999864,#N/A,0
0.16,6876,739,0.009999864,#N/A,0
0.2,45,739,0.009999864,#N/A,0
0.2,6879,739,0.009999864,#N/A,0
0.59999996,6889,739,0.009999864,#N/A,0
0.20000002,6782,739,0.009999864,#N/A,0
0.20000002,6899,739,0.009999864,#N/A,0
0.2,6899,739,0.009999864,#N/A,0
0.36999997,153,52,0.142468399,0.36999997,1
0.47999996,6903,739,0.009999864,#N/A,0
0.20000002,6782,739,0.009999864,#N/A,0
0.30314347,154,102,0.011339252,0.69685653,0
0.82,54,78,0.009999566,0.767916682,1
0.91,54,77,0.009999523,0.701250017,1
0.86,13,78,0.009999566,0.872499993,1
0.90999997,13,77,0.009999523,0.897499978,1
0.8651881,115,77,0.063080673,0.810128093,1
0.94,6,78,0.123247219,0.93768775,1
0.4,153,103,0.011210426,0.60000001,0
0.20000002,6905,739,0.009999864,#N/A,0
0.55999994,6915,739,0.009999864,#N/A,0
0.59,6916,739,0.009999864,#N/A,0
0.19999999,6782,739,0.009999864,#N/A,0
0.5975923,148,78,0.432688268,0.592163,1
0.5500001,176,269,0.134993565,#N/A,1
0.73999995,6919,739,0.009999864,#N/A,0
0.20000002,6782,739,0.009999864,#N/A,0
0.23000002,6921,739,0.009999864,#N/A,0
0.35000002,154,9,0.02059164,0.488750015,1
0.87,159,13,0.02059164,0.87,1
0.42000002,153,84,0.011210426,0.48999994,0
0.39999998,153,102,0.011210426,0.60000001,0
0.5,154,5,0.012826149,0.5,0
0.95,122,78,0.999479244,0.819499905,1
0.96000004,122,78,0.999479244,0.819499905,1
0.19999999,6782,739,0.009999864,#N/A,0
0.20000002,6929,739,0.009999864,#N/A,0
0.42499998,175,9,0.022537334,0.42499998,1
0.6,176,16,0.014924301,0.782552966,0
0.47999996,6938,739,0.009999864,#N/A,0
0.20000002,6782,739,0.009999864,#N/A,0
0.20000002,6950,739,0.009999864,#N/A,0
0.21,2075,739,0.009999864,#N/A,0
0.833367,934,9,0.309057677,0.666336245,1
0.18000002,4769,739,0.009999864,#N/A,0
0.3924448,856,232,0.017376979,0.551838518,1
0.4748971,175,102,0.011601361,0.60439515,0
0.58744854,185,102,0.011601361,0.608177355,0
0.23262522,175,103,0.011469557,0.60439515,0
0.24139796,108,17,0.107198799,0.75860204,0
0.024834856,10077,204,0.542416411,0.961849998,0
0.39000002,796,376,0.045287909,0.8975,0
0.24999985,2283,341,0.090544542,0.758333312,0
0.18,6964,739,0.009999864,#N/A,0
0.19569899,176,17,0.123250786,0.886845517,0
0.36249998,172,9,0.022537334,0.371603035,1
0.18000002,372,739,0.009999864,#N/A,0
0.73,188,102,0.011601361,0.585000005,0
0.18,6966,739,0.009999864,#N/A,0
0.51,6967,739,0.009999864,#N/A,0
0.11735219,828,127,0.014677381,0.88264781,0
0.26525036,172,103,0.011469557,0.8498289,0
0.38292566,856,128,0.02578785,0.3924448,0
0.41576436,1607,448,0.015198432,0.684314548,0
0.6600001,108,51,0.203024638,0.325105817,0
0.59825194,1025,155,0.193008873,0.786949559,1
0.39999998,45,739,0.009999864,#N/A,0
0.37,2075,739,0.009999864,#N/A,0
0.37,6970,739,0.009999864,#N/A,0
0.38,2075,739,0.009999864,#N/A,0
0,8,573,0.017781379,0.9844899,0
0.19999999,6782,739,0.009999864,#N/A,0
0.10000001,201,103,0.011601361,0.8154796,0
0.21,205,10,0.022537334,0.744939885,0
0.45000002,199,9,0.022537334,0.68500001,1
0.125,199,103,0.011601361,0.4675,0
0.92,199,13,0.022537334,0.68500001,1
0.6030935,1219,155,0.193008873,0.787326749,1
0.28,45,739,0.009999864,#N/A,0
0.27,2075,739,0.009999864,#N/A,0
0.15406737,172,17,0.123250786,0.856526773,0
0.99,201,1,0.025116351,#N/A,1
0.9900933,201,1,0.025116351,#N/A,1
0.5,201,84,0.011734678,0.645246241,0
0.75000006,213,102,0.011734678,0.524999975,0
0.19999999,213,103,0.011734678,0.524999975,0
0.46800023,856,355,0.010439724,0.589365668,1
0.19790015,201,103,0.011734678,0.8154796,0
0.24000002,2299,739,0.009999864,#N/A,0
0.25,2075,739,0.009999864,#N/A,0
0.24000001,2075,739,0.009999864,#N/A,0
0.8,836,9,0.07977471,0.8,1
0.5205844,176,269,0.182278029,#N/A,1
0.18,5282,739,0.009999864,#N/A,0
0.049999997,218,103,0.011734678,0.80000001,0
0.049999997,218,103,0.011734678,0.80000001,0
0.16370021,201,17,0.141706403,0.681922647,0
0.3865077,1219,61,0.408772216,0.6134923,0
0.10000001,222,103,0.011734678,0.89999999,0
0.11,122,103,0.011869528,0.96,0
0.18999998,2075,739,0.009999864,#N/A,0
0.17,2283,739,0.009999864,#N/A,0
0.17999999,2075,739,0.009999864,#N/A,0
0.6999999,176,19,0.187322104,0.64170884,1
0.75,85,126,0.010669969,0.76750003,1
0.37206617,161,9,0.024666877,0.609317096,1
0.7546649,161,13,0.024666877,0.609317096,1
0,8,574,0.017781379,0.9844899,0
0.17,2299,739,0.009999864,#N/A,0
0.18,45,739,0.009999864,#N/A,0
0.51384044,841,103,0.015975422,0.48615956,0
0.5438156,176,51,0.345377506,0.64170884,0
0.6999999,176,51,0.345377506,0.64170884,0
0.21027322,161,19,0.16292557,0.411136232,1
0.59671,161,22,0.048930549,0.411136232,1
0.17,2283,739,0.009999864,#N/A,0
0.18,2075,739,0.009999864,#N/A,0
0.35,45,452,0.794536491,0.682896467,1
0.16000001,2075,739,0.01300972,#N/A,0
0.13999999,296,739,0.037270344,#N/A,0
0.16000001,2075,739,0.106772364,#N/A,0
0.18,6782,739,0.121785558,#N/A,0
0.18,2075,739,0.180720153,#N/A,0
0.18,5282,739,0.180720153,#N/A,0
0.71346694,176,19,0.247621631,0.64170884,1
0.6499999,841,9,0.07977471,0.6499999,1
0.77,59,13,0.026997639,0.844904209,1
0.22000001,4769,739,0.206131099,#N/A,0
0.50692147,856,346,0.0110691,0.560210276,1
0.22999999,10611,1092,0.061347355,0.900000006,0
0.20999998,2075,739,0.206131099,#N/A,0
0.19,85,739,0.206131099,#N/A,0
0.19999997,176,1092,0.061347355,0.949999999,0
0.6,232,5,0.014129733,0.375,0
0.16000001,10405,1092,0.074582258,0.80313726,0
0.8027308,10580,1092,0.083390264,0.74670778,0
0.23000002,59,52,0.492180327,0.77021359,1
0.6924418,176,51,0.412296027,0.64170884,0
0.18000002,2075,739,0.206131099,#N/A,0
0.16999999,2315,739,0.206131099,#N/A,0
0.14838232,2058,739,0.235115062,#N/A,0
0.14,2283,739,0.235115062,#N/A,0
0.12999998,2075,739,0.397949699,#N/A,0
0.6095528,2285,474,0.59922742,0.82570972,1
0.120000005,372,739,0.453905153,#N/A,0
0.25000003,122,17,0.327331751,0.882499986,0
0.29833722,317,153,0.009999981,0.70166278,0
0.45000002,5122,737,0.055231768,0.679841547,0
0.75,296,649,0.125118361,0.890099584,1
0.15179658,5122,372,0.099975954,0.82499999,0
0.105000004,233,103,0.012283447,0.894999996,0
0.68428373,176,51,0.587542588,0.64170884,0
0.45,59,128,0.009999988,0.88,0
0.2,45,128,0.009999988,0.654999995,0
0.12,296,1068,0.009999963,0.700000001,0
0.120000005,296,1051,0.015325331,0.766979782,0
0.13000001,296,739,0.453905153,#N/A,0
0.120000005,8987,739,0.453905153,#N/A,0
0.13,296,739,0.453905153,#N/A,0
0.14376204,8997,739,0.453905153,#N/A,0
0.19000001,4769,687,0.348506758,0.706643847,0
0.16,9685,341,0.087432718,0.860000015,0
0.79717314,176,19,0.497493561,0.64170884,1
0.75,122,126,0.009999933,0.934000013,1
0.20000002,296,1040,0.164082614,0.890099584,0
0.12,2299,739,0.517728467,#N/A,0
0.13000001,296,739,0.517728467,#N/A,0
0.20667914,96,127,0.010372192,0.79332086,0
0.17833957,239,127,0.010372192,0.82166043,0
0.14,242,103,0.013005635,0.86,0
0.37080005,7,128,0.010366278,0.715000012,0
0.37,296,1073,0.009999963,0.970000001,0
0.79999995,10580,1092,0.083390264,0.74670778,0
0.5,10229,1092,0.11335348,0.99,0
0.35000002,9845,1092,0.149842293,0.866746753,0
0.5111782,161,51,0.345377506,0.411136232,0
0.6096226,1981,474,0.094244535,0.76156956,1
0.6369543,2179,474,0.098027612,0.580459272,1
0.6542855,2190,474,0.110312609,0.597457958,1
0.6491376,1981,474,0.110312609,0.76156956,1
0.64571416,2062,474,0.114740675,0.89,1
0.61369085,2150,474,0.114740675,0.76275998,1
0.5942855,2062,474,0.124137184,0.89,1
0.5885535,2299,474,0.145301758,0.618789245,1
0.5314219,2026,474,0.151134326,0.619308971,1
0.5342797,2299,474,0.163511236,0.618789245,1
0.5571264,2190,474,0.163511236,0.597457958,1
0.5398083,2285,474,0.199071379,0.82570972,1
0.6332121,8997,474,0.59922742,0.72756556,1
0.59013057,2084,474,0.59922742,0.76353434,1
0.5914292,5282,474,0.59922742,0.92,1
0.5914075,8920,474,0.59922742,0.7276491,1
0.5914076,5282,474,0.59922742,0.92,1
0.63999987,2113,478,0.129120183,0.71,1
0.24,296,338,0.090042171,0.885199163,0
0.4473738,176,269,0.669719759,#N/A,1
0.62107086,23,52,0.014250242,0.62107086,1
0.5999743,8920,474,0.623281049,0.7276491,1
0.5277779,856,207,0.015248479,0.50000003,1
0.16999997,296,341,0.090544542,0.885199163,0
0.5914275,8920,474,0.648300217,0.7276491,1
0.49511212,201,130,0.010189714,0.619064749,1
0.10242918,241,127,0.010372192,0.89757082,0
0.775,7,126,0.012147736,0.715000012,1
0.08046256,241,103,0.012857878,0.91953744,0
0.5414478,856,213,0.016086726,0.589365668,0
0.27,45,128,0.010491332,0.654999995,0
0.58571464,5282,474,0.729546371,0.92,1
0.6028521,9420,474,0.758831143,0.599160204,1
0.59928346,9420,474,0.758831143,0.599160204,1
0.585714,5282,474,0.758831143,0.92,1
0.5857121,2058,474,0.758831143,0.900000006,1
0.58016485,2084,474,0.789291436,0.76353434,1
0.8008402,292,102,0.014088587,0.544579905,0
0.08272707,88,17,0.020090586,0.836311918,0
0.120000005,275,103,0.013928526,0.539579898,0
0.585714,5122,474,0.789291436,0.658053689,1
0.24999997,122,61,0.078182447,0.56250014,0
0.5803336,2084,474,0.789291436,0.76353434,1
0.08372507,286,127,0.01200483,0.91627493,0
0.4316767,796,203,0.245658068,0.769869693,1
0.96999997,176,19,0.756113155,0.64170884,1
0.24000004,8935,765,0.031095642,0.906313479,0
0.39755607,253,130,0.010580028,0.39755607,1
0.7107205,880,130,0.011954807,0.7107205,1
0.58571476,5122,474,0.789291436,0.658053689,1
0.2699998,8935,765,0.033241608,0.906313479,0
0.6251368,868,102,0.016159004,0.4927225,0
0.29512385,872,103,0.016159004,0.741912439,0
0.35,85,103,0.016159004,0.720999999,0
0.6,861,154,0.009999987,0.6,1
0.08893633,862,127,0.01494804,0.91106367,0
0.74302274,8920,375,0.05058341,0.8299999,1
0.35000005,8920,374,0.112026317,0.8299999,0
0.43512866,176,269,0.740230311,#N/A,1
0.15307467,2085,687,0.088930836,0.690631833,0
0.58000004,122,61,0.081756958,0.56250014,0
0.25,312,102,0.014088587,0.694999951,0
0.009999999,312,103,0.014088587,0.694999951,0
0.23580022,317,103,0.014250486,0.76419978,0
0.3894182,868,103,0.016159004,0.4927225,0
0.79616416,924,154,0.010388965,0.79616416,1
0.98034817,14,154,0.805154353,0.7693543,1
0.58558476,2111,474,0.789291436,0.7496443,1
0.6124025,2315,584,0.036593877,0.652199695,0
0.31000003,45,84,0.016344697,0.89999999,0
0.58558315,2283,474,0.789291436,0.950000007,1
0.57999814,8987,474,0.789291436,0.75,1
0.1929001,335,103,0.014250486,0.70977306,0
0.19517232,352,128,0.011547633,0.80482768,0
0.44380882,2315,718,0.027063668,0.665880768,0
0.5857171,8935,474,0.789291436,0.969999999,1
0.5915568,8997,474,0.789291436,0.72756556,1
0.5857114,2283,474,0.789291436,0.950000007,1
0.37999997,5282,728,0.397953228,0.931916667,0
0.9499999,359,102,0.014414247,0.074999975,0
0.09999998,5021,153,0.698499242,0.968149172,0
0.44999996,5282,737,0.052671116,0.915000005,0
0.46999997,4769,737,0.073432355,0.909999989,0
0.27,69,79,0.012270927,0.73,0
0.21,115,79,0.012270927,0.682695513,0
0.13365288,360,103,0.014414247,0.86634712,0
0.16682643,363,103,0.014414247,0.83317357,0
0.37500003,39,130,0.011089013,0.37500003,1
0.6752907,1981,489,0.090452539,0.76156956,1
0.68857354,2185,489,0.110501523,0.69,1
0.87,59,22,0.417366935,0.77021359,1
0.28040755,277,9,0.055592826,0.572441124,1
0.78499997,277,13,0.055592826,0.572441124,1
0.4799998,85,61,0.057174322,0.652727311,0
0.19999997,85,103,0.014747435,0.720999999,0
0.56298274,796,193,0.010273736,0.783227714,1
0.5166851,796,195,0.010273736,0.783227714,0
0.15396902,369,128,0.011970612,0.84603098,0
0.62000024,2113,489,0.124605373,0.71,1
0.6356079,2185,489,0.124605373,0.69,1
0.63140893,2299,489,0.140509365,0.618789245,1
0.25,59,129,0.011557131,0.847956575,1
0.5,59,61,0.057174322,0.77021359,0
0.3,59,129,0.011557131,0.847956575,1
0.23789012,39,129,0.011557131,0.23789012,1
0.19394507,369,129,0.011710184,0.19394507,1
0.46731207,1338,372,0.009999983,0.45801254,0
0.33,59,145,0.010517559,0.88,0
0.5474133,367,84,0.014747435,0.868488903,0
0.415,380,84,0.014916906,0.585,0
0.0992911,39,103,0.014747435,0.62977895,0
0.07524859,274,103,0.014747435,0.92475141,0
0.25,85,103,0.014747435,0.720999999,0
0.69347596,887,154,0.010128001,0.69347596,1
0.74860203,2460,489,0.152224401,0.74860203,1
0.24697253,232,129,0.011865264,0.24697253,1
0.66946685,2646,489,0.158443262,0.6694671,1
0.068965524,45,389,0.026780292,0.89999999,0
0.6742782,2299,489,0.158443262,0.618789245,1
0.17475107,1220,127,0.028858178,0.755070642,0
0.34499997,9643,1083,0.013894244,0.707293015,0
0.3,5122,1083,0.01637782,0.74999991,0
0.6600001,85,154,0.010128001,0.732727278,1
0.47001448,796,199,0.010256934,0.7069186,0
0.67999995,85,130,0.012067679,0.732727278,1
0.5,59,374,0.020862086,0.77021359,0
0.57987624,427,126,0.02822634,0.726378155,1
0.25000003,2062,444,0.502704791,0.674523822,0
0.2176499,1981,444,0.502704791,0.679333303,0
0.46731207,1338,372,0.009999983,0.45801254,0
0,8,595,0.014924026,0.9844899,0
0.2176499,1947,444,0.502704791,0.704752343,0
0.18382497,2111,444,0.502704791,0.695714471,0
0.21999997,2062,444,0.502704791,0.674523822,0
0.21999997,2033,444,0.502704791,0.756331457,0
0.35999998,2111,444,0.502704791,0.695714471,0
0.29,2026,444,0.502704791,0.70939394,0
0.41684034,2315,791,0.01471113,0.74999997,0
0.82499987,431,102,0.015088324,0.583617413,0
0.12711993,427,128,0.01211502,0.726378155,0
0.66285163,2113,489,0.158443262,0.71,1
0.66285425,2150,489,0.158443262,0.76275998,1
0.25500003,65,396,0.014839109,0.715843518,0
0.145,110,536,0.021542388,0.855,0
0.6628544,2150,489,0.158443262,0.76275998,1
0.32707536,14,765,0.033241608,0.989662836,0
0.6628541,2150,489,0.158443262,0.76275998,1
0.625,232,5,0.019964964,0.375,0
0.7467973,4,374,0.012777681,0.2532027,0
0.48,59,129,0.013009879,0.847956575,1
0.5395243,909,102,0.016532523,0.56,0
0.007765304,431,103,0.015088324,0.583617413,0
0.68285704,2134,489,0.164916184,0.614341696,1
0.22077422,2084,687,0.013663986,0.741667373,0
0.04,7,418,0.139890403,0.940000005,0
0.15388264,457,103,0.015088324,0.84611736,0
0.8286483,427,13,0.063655536,0.52807008,1
0.4,59,155,0.010856926,0.735000004,1
0,8,597,0.014924026,0.9844899,0
0.23,85,103,0.015088324,0.720999999,0
0.39335743,232,103,0.015088324,0.53658261,0
0.48702145,2084,189,0.060749663,0.687126485,0
0.7271398,2978,489,0.164916184,0.7271398,1
0.7085632,2185,489,0.164916184,0.69,1
0.68070847,3242,489,0.164916184,0.69771582,1
0.14086294,464,127,0.013395846,0.85913706,0
0.42000002,85,155,0.011787385,0.85050003,1
0.73132783,1220,169,0.016291408,0.755070642,1
0.82499987,483,102,0.015088324,0.3641607,0
0.57237744,491,103,0.015088324,0.42762256,0
0.123169184,491,128,0.012261171,0.876830816,0
0.09247334,495,128,0.012261171,0.67269493,0
0.666604,3388,489,0.164916184,0.65285647,1
0.6628558,2315,489,0.164916184,0.74999997,1
0.55,482,14,0.024893914,0.53938233,0
0.10794467,474,127,0.013395846,0.89205533,0
0.35000017,8987,765,0.033241608,0.740000025,0
0.415,453,84,0.015088324,0.66372047,0
0.11000001,85,157,0.010651029,0.85050003,0
0.655253,482,16,0.024893914,0.53938233,0
0.66249996,497,102,0.015088324,0.33750004,0
0.44667873,483,103,0.015088324,0.3641607,0
0.096338876,466,128,0.01211502,0.903661124,0
0.68,5282,718,0.013094956,0.752001578,0
0.65285647,3388,489,0.164916184,0.65285647,1
0.66571474,2075,489,0.164916184,0.80000001,1
0.35478058,912,144,0.010786306,0.64521942,0
0.5999999,934,273,0.367325091,#N/A,0
0.45328832,176,222,0.215372883,0.92,0
0.19000001,36,444,0.502704791,0.777218901,0
0.21999998,2062,444,0.502704791,0.674523822,0
0.4913951,915,103,0.016532523,0.37391537,0
0.7900001,915,61,0.089403732,0.2099999,0
0.10000001,2075,444,0.502704791,0.690666663,0
0.7423283,695,154,0.010257653,0.7423283,1
0.22160456,500,128,0.012261171,0.64701654,0
0.049999993,2075,418,0.139890403,0.635999992,0
0.6435681,3734,489,0.164916184,0.6435681,1
0.674212,4332,489,0.164916184,0.674212,1
0.49481612,2085,765,0.05303463,0.68903467,0
0.33252338,505,84,0.015261713,0.59337078,0
0.7228133,4079,489,0.164916184,0.7228133,1
0.55729896,2315,778,0.01523725,0.638493106,1
0.7721186,4589,489,0.164916184,0.7721186,1
0.77211887,4625,489,0.164916184,0.77211887,1
0.7937895,503,102,0.015088324,0.28792655,0
0.51225364,501,103,0.015088324,0.48774636,0
0.77211976,4648,489,0.164916184,0.77211976,1
0.82189476,232,102,0.015088324,0.53658261,0
0.45978597,484,103,0.015088324,0.68892005,0
0.37391537,915,155,0.011787385,0.37391537,1
0.69676805,4681,489,0.164916184,0.69676805,1
0.7090888,4823,489,0.164916184,0.7090888,1
0.34999996,45,126,0.050599872,0.654999995,1
